Sl.No.,Item,Qty,Unit,Brand,Supplier,Date of purchase,Finished/opened,Comments,Invoice no.,Invoice data
1.0,Autoclavable bag,,,,,,,,,
,"Autoclavable bag 14""x20",1,,,Lab supplies trivandrum,2023-01-12 00:00:00,Finished,,R0001449,2023-01-12 00:00:00
,"Autoclavable bag 14""x19""",1,,,ILE,2023-03-22 00:00:00,Finished,,ILE/T/1569/22-23,2023-03-22 00:00:00
,"Autoclavable bag 19""x24""",1,,,ILE,2023-05-19 00:00:00,,Stock:74,TVM/23-24/0258,2023-05-19 00:00:00
,"Autoclavable bag 14""x19""",1,,,ILE,2023-07-20 00:00:00,,Stock:96,TVM/23-24/0626,2023-07-20 00:00:00
,"Autoclavable bag 12 x24""",25 no,,Tarson,ILE,16-11-24,,,TVM/24-25/1569,
,"Autoclavable bag 8 x 12""",1 pkt,,Tarson,ILE,16-11-24,,,TVM/24-25/1569,
,"Autoclavable bag 8 x 12""",10,,ABDOS,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,"Autoclavable bag 16 x 18""",10,,Abdos,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,,,,,,,,,,
2.0,Beaker,,,,,,,,,
,"Beaker,2L",1,4,Tarson,Biomate,2023-01-28 00:00:00,,Stock:4 ,BMC2223-504,2023-01-28 00:00:00
,"Beaker, 5L",1,2,Polylab,Lab supplies trivandrum,2023-01-30 00:00:00,,Stock:2 ,W0000692,2023-01-30 00:00:00
,"Beaker, 5L",1,2,Tarson,ILE,2023-10-31 00:00:00,,Stock:2,TVM/23-24/1260,2023-10-31 00:00:00
,"Beaker ,1L",1,,"Tarson, PP 421060",ILE,17-01-25,,,TVM/24-25/2066,17-01-25
3.0,Bucket,,,,,,,"Stock: 17L-2, 25L-1",,
,"Bucket, 17L",,,,,,,Bill is not available,,
,"Bucket, 17L",1,,,"Althaf fancy, Mangalapuram",2023-07-24 00:00:00,,Stock:2,350,2023-07-24 00:00:00
,"Bucket, 25 L",1,,,"Althaf fancy, Mangalapuram",2023-07-19 00:00:00,,Stock:1,349,2023-07-19 00:00:00
,"Bucket ,Transparent 25 L",1,,,"Aelias FAmily associates, Near Railway station,Chirayinkeezhu , 0470 2647854",19-03-25,,,SIT-2967,19-03-25
,"Bucket ,Transparent 50 L with lid",1,,,"Aelias FAmily associates, Near Railway station,Chirayinkeezhu , 0470 2647854",19-03-25,,,SIT-2967,19-03-25
,"Bucket, Transparent 500 container",1,,,"Aelias FAmily associates, Near Railway station,Chirayinkeezhu , 0470 2647854",19-03-25,,,SIT-2967,19-03-25
,Bucket Transparent 1000 container,4,,,"Aelias FAmily associates, Near Railway station,Chirayinkeezhu , 0470 2647854",19-03-25,,,SIT-2967,19-03-25
,Bucket Drum with lid (160 L),1,,,"Aelias FAmily associates, Near Railway station,Chirayinkeezhu , 0470 2647854",19-03-25,,,SIT-2967,19-03-25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Container,1,,Southern plastic,"Kunnil Hypermarket, Kaniyapuram",2024-04-10 00:00:00,,,GK25-18503,2024-04-10 00:00:00
4.0,Carboy,,,,,,,"Stock: 10L-3, 20L-1",,
,"Carboy, cap-10Ltr",1,1, Tarson (583250),Biosys,Feb 10 2023,,cancelled,,
,"Carboy, cap-10Ltr",1,1, Tarson (583250),ILE,2023-05-08 00:00:00,,Stock: 3,TVM/23-24/0178,2023-05-08 00:00:00
,"Carboy, cap-10Ltr",2,, Tarson (583250),ILE,2023-07-26 00:00:00,,,TVM/23-24/0678,2023-07-26 00:00:00
,"Carboy, cap-20Ltr",1,1,Tarson,ILE,2023-05-19 00:00:00,,Stock:1,TVM/23-24/0258,2023-05-19 00:00:00
5.0,Centrifuge tubes,,,,,,,Stock: 50 ml-1 Pkt,,
,"Centrifuge tubes, 15 ml",2,25/pack,Tarson,"Lab supplies trivandrum, 25/1643-3,Vasantham chambers,Nr. Sreekumar theatre, SS Kovil road 32- Kerala, Thampanoor, Trivandrum-695001 Phone: 0471-4858444, 6282334304, 9847245887 Website: labsupplies.in; labsuppliestrivandrum.com E mail: labsuppliesemail@gmail.com",2023-01-12 00:00:00,Finished,,R0001449,2023-01-12 00:00:00
,"Centrifuge tubes, 50 ml",1,25/pack,Tarson,Lab supplies trivandrum,2023-01-12 00:00:00,Finished,,R0001449,2023-01-12 00:00:00
,"Centrifuge tubes, 50 ml",1,25/pack,Tarson,ILE,2023-05-05 00:00:00,Finished,,TVM/23-24/0160,2023-05-05 00:00:00
,"Centrifuge tubes, 50 ml",2,25/pack,Tarson,ILE,2023-10-31 00:00:00,,,TVM/23-24/1260,2023-10-31 00:00:00
6.0,Dropping bottle,1,125 ml,Polylab,lab supplies trivandrum,purchased on Jan 12 2023,,Stock:1,R0001449,2023-01-12 00:00:00
7.0,Funnel,1,6,Tarson,ILE,2023-08-12 00:00:00,,Stock:6,TVM/23-24/0781,2023-08-12 00:00:00
8.0,Microtips,,,,,,,"Stock: 2-200ul - 1pkt, 100-1000- 1pkt; both are opened",,
,"Microtips, 2-200 ul",,,Tarson,Sabari scientific supplies,2023-03-02 00:00:00,,,BB-234,2023-03-02 00:00:00
,"Microtips, 2-200 ul",1,,Tarson,ILE,2023-08-12 00:00:00,,,TVM/23-24/0781,2023-08-12 00:00:00
,"Microtips, 100-1000ul",,,Tarson,Biomate,2023-01-28 00:00:00,,,BMC2223-504,2023-01-28 00:00:00
,"Microtips,200-1000 ul",1,,Tarson,ILE,2023-05-05 00:00:00,,,TVM/23-24/0160,2023-05-05 00:00:00
