Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased on,Finished on ,Comments,Invoice no,Invoice date
,Ring binder folder A4,1,,,Sree lakshmi Enterprises,2023-05-18 00:00:00,,,1314,2023-05-18 00:00:00
,Ring binder folder A4,1,,,,,,Bill is not available,,
,Ring binder folder A4,2,,,Lulu hypermarket,2024-03-11 00:00:00,,,85560,2024-03-11 00:00:00
,Ring binder folder A4,2,,Paragon,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Stick file,1,,,,,,Got from LabQ,,
,2 ring Binder A4 RB 400,2,,Worldone,Premier,20/09/24,,,MG2425/1082711,20/09/24
,Trio lever Arch file LA500 235,2,,Trio lever,Premier,20/09/24,,,MG2425/1082711,20/09/24
,Garbage bag,,,,,,,,,
,Garbage bag,1,,Welpack,Kunnil Hypermarket,,Finished,Bill is not available,,
,Garbage bag,1,,Freshee,Lulu Hypermarket,2023-04-22 00:00:00,Finished,,7/87335,2023-04-22 00:00:00
,Garbage bag,1,,,,,Finished,Bill is not available,,
,Garbage bag,3,30 Pcs,Green,"Johns Hypermarket, Silan Tower, Near 100M police station, Service road, Kazhakuttom, TVM-8137944414, Email: johnshypermarket@gmail.com",2024-02-14 00:00:00,,,,
,Glass&household cleaner,1,500 ml,Dazzil,,,,Bill is not available,,
,Glue,,,,,,,,,
,Glue stick,1,15g,Amos,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,"Glue, white",1,22.5 g,Camalin,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Glue,1,50 g,Fevicol,EBC,,,,,
,Hand wash,,,,,,,,,
,Hand wash,1,250 ml,Himalaya,,,Finished,Bill is not available,,
,Hand wash,1,,Medimix,,,Finished,Bill is not available,,
,Hand wash,1,675 ml,Detol,Lulu Hypermarket,2024-02-05 00:00:00,Finished,,110483,2024-02-05 00:00:00
,Handwash,1,675 ml,Dettol,Lulu hypermarket,30-11-24,,,164699,30-11-24
,Highlighter,,,,,,,,,
,Highlighter,1,,Luxar ,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Highlighter,1,,Artline ,,,,Bill is not available,,
,Highlighter,5,,"Faber castle (4), hauser (1)","Engineers book centre& Library, Engg.College Jn., Thiruvananthapuram, Ph:0471-2596959",2024-01-14 00:00:00,,,443,2024-01-14 00:00:00
,Key chain,5,,,Kunnil Hypermarket,,,Bill is not available,,
,Kitchen gel,,,,,,,,,
,Kitchen gel,,,,,,Finished,Bill is not available,,
,Kitchen gel,1,,Dettol,Lulu Hypermarket,2023-04-22 00:00:00,Finished,,7/87335,2023-04-22 00:00:00
,Kitchen gel,1,250 ml,Vim,"Smart point, Reliance retail limited, Koora veetil building, Mangalapuram, Thonnakkal P.O., TVM-965317",2023-10-13 00:00:00,Opened,,6,2023-10-13 00:00:00
,Kitchen gel,1,400 ml,Dettol,Lulu Hypermarket,2024-02-05 00:00:00,Finished,,110483,2024-02-05 00:00:00
,Kitchen gel,1,750 ml,Vim,Lulu hypermarket,2025-03-03 00:00:00,,,244171,2025-03-03 00:00:00
,Marker pen,,,,,,,"Stock: luxar permanent marker-2, camelin artist brush-1, CD/OHP marker: luxar-1Rorito-1, camelin-4, officemate-; Total - 10",,
,"Marker pen, artist brush pen",1,,Camlin,Kunnil Hypermarket,Jan 09 2023,,"CD/OHP marker: red -3 (camelin, officemate, luxar) , blue-3 (2 camelin,1 rorito), black-1",374684,2023-01-09 00:00:00
,"Marker pen, CD ",2,,"Rorito, luxar",Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,"Marker pen, permanent ",2,,Luxar ,Kunnil Hypermarket,Jan 09 2023,,Luxar (Big) - Green 1; Blue 1,374684,2023-01-09 00:00:00
,"Marker pen, OHP",1,,Office mate,"Sree Lakshmi Enterprises, M.G. Road, TVM-695 001 Ph: 0471-2331430",2023-05-18 00:00:00,,,1314,2023-05-18 00:00:00
,"Marker pen, CD/OHP",1,,Camelin,Sree lakshmi Enterprises,2023-05-18 00:00:00,,,1314,2023-05-18 00:00:00
,"Marker pen, CD/OHP",1,,Camelin,Sree lakshmi Enterprises,2023-12-16 00:00:00,,,8189,2023-12-16 00:00:00
,"Marker pen, CD/OHP",2,,,,,,Bill for 2 nos is not available,,
,"Marker pen, OHP",4,,Faber castle ,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,"Marker pen, OHP (10/-)",2,,Faber castle ,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Mope  ,1,,Gala floor microfiber twist,Kunnil hypermarket,26/12/24,,,512687,26/12/24
,Mope,1,,Gala floor micro fibre twist,Kunnil Hypermarket,21/07/24,Opened,Discarded,GK25-205591,21/07/24
,Mope,,,,,,,Bill is not available,,
,Mope,1,,,,,,Discarded,,
,Monthly planner sheets,1,6 nos,ESCAPER,Amazon,2024-12-09 00:00:00,Opened,,BOM5-3931664,2024-12-09 00:00:00
,Note book,,,,,,,,,
,Note Book,1,120 pages,Classmates,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Note Book,1,240 pages,Classmates,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Note Book,1, 400 pages,Classmates,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Note Book,1,172 pages,Classmates,"Khadeeja traders, Super market, Mangalapuram - 695 317, Ph: 0471-2420786",2023-11-01 00:00:00,,,53,2023-11-01 00:00:00
,Note Book,1,92 pages,Apsara,,,,Bill is not available,,
,Note Book,1,180 pages,Aspire colours,"Sree Lakshmi Enterprises, M.G. Road, TVM-695 001 Ph: 0471-2331430",2023-12-16 00:00:00,,,8189,2023-12-16 00:00:00
,Note Book,1,388 pages,Aspire colours,"Sree Lakshmi Enterprises, M.G. Road, TVM-695 001 Ph: 0471-2331430",2023-12-16 00:00:00,,,8189,2023-12-16 00:00:00
,Note Book,2,"""",Classmates,"Lalys Hyper market,Thrissur",2024-10-08 00:00:00,,,G/24-25/-98846,
,Note pad,,,,,,,,,
,Note pad,1,100 pages,Luxar,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Note pad,2,,Sharp,Sree lakshmi Enterprises,2023-05-18 00:00:00,,,1314,2023-05-18 00:00:00
,Note pad,1,100 pages,Paper craft,,,,Bill is not available,,
,Note pad,5,40 sheets,Sharp,Sree lakshmi Enterprises,2024-03-14 00:00:00,,,10950,2024-03-14 00:00:00
,Note pad,3,,,"Engineers book centre& Library, Engg.College Jn., Thiruvananthapuram, Ph:0471-2596959",2024-04-06 00:00:00,,,1387,2024-04-06 00:00:00
,Note pad,2,40 sheets,Sharp,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,"Paper, A4 sheet",,,,,,,,,
,A4 loose sheet,5,,,Sree lakshmi Enterprises,2023-01-12 00:00:00,Finished,,9994,2023-01-12 00:00:00
,A4 sheet bundle,1,,,Kunnil Hypermarket,,Finished,Bill is not available,,
,A4 sheet bundle,1,,,Kunnil Hypermarket,2023-10-23 00:00:00,Finished,,GK24-335749,2023-10-23 00:00:00
,A4 sheet bundle,1,500 (75gsm),JK copier,Lulu hypermarket,2024-03-11 00:00:00,Finished,,85560,2024-03-11 00:00:00
,A4 sheet bundle,2,500 (70 Gsm),JK max,EBC Store,2024-07-07 00:00:00,,,EBC-40767,2024-07-07 00:00:00
,A4 sheet bundle,1,500 (75 gm),JK copier,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Paper clips,1,100,Bambalio,"Sree Lakshmi Enterprises, M.G. Road, TVM-695 001 Ph: 0471-2331430",2024-03-14 00:00:00,,,10949,2024-03-14 00:00:00
,Paper roll for printer (weighing balance),1,10,Avery,"Youtech systems, 2979 Gajjar Building, Surat",14-07-2023,,Ordered through flipkart,FABFSC2400002599,2023-07-14 00:00:00
,Paper punch,1,,Kangaro,Sree lakshmi Enterprises,2023-01-12 00:00:00,,,9994,2023-01-12 00:00:00
,Penstand,1,,Omega penstand elite,"SPS Office Equipments TC 26-191, 26-192, Pulimood Junction, M G Road, TVM Ph: 0471-2966066, 9995542653",Jan 16 2023,,,SPSOE/0897,2023-01-16 00:00:00
,Pen ,1,5,Cello fingergrip,Kunnil Hypermarket,Jan 09 2023,Finished,Black,374684,2023-01-09 00:00:00
,Pen,,10,Saino softek,Sree lakshmi Enterprises,2023-05-18 00:00:00,,Stock:12,1314,2023-05-18 00:00:00
,Pen,,10,Saino softek,"Engineers book centre& Library, Engg.College Jn., Thiruvananthapuram, Ph:0471-2596959",2024-03-05 00:00:00,,,699,2024-03-05 00:00:00
,Pen (ball pen),2,,Rey 045,Sree lakshmi Enterprises,31/07/24,,,4396,31/07/24
,Pen (Colour),10,,Elkos,Sree lakshmi Enterprises,31/07/24,,,4396,31/07/24
,Pen ,5,,Elkos colour,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Pen,5,,Stylish Aim,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Pencil,1,10,Nataraj,Kunnil Hypermarket,Jan 09 2023,,621 Bold HB writing pencil,374684,2023-01-09 00:00:00
,"Scale, 30mm",1,,Apsara,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Scissors,1,,Munix,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,See through sheet protectors,1,100 pages,,,,,Bill is not available,,
,See through sheet protectors,1,25 pcs,Sun 300,Sree lakshmi Enterprises,,,,7431,22-10-24
,Sharpner,2,,"Apsara, Nataraj",Kunnil Hypermarket,Jan 09 2023,Nataraj - free,,374684,2023-01-09 00:00:00
,Sponge wipe,,,,,,,,,
,Sponge wipe,,,,,,Finished,,,
,Sponge wipe,1,,Scrotch bite,"S.Ibrahim&Co., 39/72, Ibrahim bldg., Chalai bazar, TVM-695 036, Ph: 04712460262, 0471 2477170, Email: sicotvm@hotmail.com",2023-11-25 00:00:00,,,GC131499,2023-11-25 00:00:00
,Sponge wipe,1,,Milton,"S.Ibrahim&Co., 39/72, Ibrahim bldg., Chalai bazar, TVM-695 036, Ph: 04712460262, 0471 2477170, Email: sicotvm@hotmail.com",2024-02-27 00:00:00,,Stock-2 Pkts,GC178199,2023-02-27 00:00:00
,"Sponge, square piece",1,,,,,,Bill is not available,,
,Sponge Scrub (Dishwash),1,,Ekphk,Lulu hypermarket,2025-03-03 00:00:00,,,244171,2025-03-03 00:00:00
,Stapler and pin,,,,,,,,,
,Stapler,1,,Kangaro,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Stapler KG HP 45,1,,Kangaro,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,"Stapler pin, No.10-1M",1,1000/pack,Kangaro,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,"Stapler pin, 24/6-1M",1,1000/pack,Kangaro,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,"Stapler pin, No.10-1M",2,1000/pack,,Sree lakshmi Enterprises,2023-05-18 00:00:00,"Stock:4 (10-1M), 1(24/6-1M)",,1314,2023-05-18 00:00:00
,Stapler pin 24/6-1M HP -45,1,1000/Pk,Kangaro,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Stapler pin No.10-1M,2,1000/pk,Kangaro,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Sticky note,,,,,,,,,
,"Sticky note, 75mmx75mm",1,100 sheets,worldone (Note it; SKU:WPS003N),Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,Sticky note,1,5 pads of 25 prompts each,worldone (Note it; SKU:WPS007A),Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,"Sticky note, 76x127nn",1,100 sheets,Heng min,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,"Sticky note, 18 mm X 76 mm",1,200 sheets,JB9,Kunnil Hypermarket,Jan 09 2023,,,374684,2023-01-09 00:00:00
,"Sticky pad, 7.5x1.5cm",1,5 pads ,Bambalio (SN-50),Sree lakshmi Enterprises,2023-05-18 00:00:00,,,1314,2023-05-18 00:00:00
,Sticky note pad 2*3MU,1,100 sheets,Music 555,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Sticker sheet,,,,,,,,,
,Sticker,1,,Sticker bazaar,Kunnil Hypermarket,Jan 09 2023,Finished,,374684,2023-01-09 00:00:00
,Sticker sheet,5,,,Sree lakshmi Enterprises,2023-12-16 00:00:00,,,8189,2023-12-16 00:00:00
,Sticker sheet,1,,Price sticker,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,Sticker label sheet,4,,EXp inkjet,Sree lakshmi Enterprises,23-10-23,,,7431,23-10-24
,Surface disinfectant,,,,,,,,,
,Disinfectant,1,,Cif anti-bac &shine,,,,Bill is not available,,
,Disinfectant,1,500 ml,Lysol,,,Finished,Bill is not available,,
,Disinfectant,1,500 ml,Lysol,"Smart point, Mangalapuram",2024-04-28 00:00:00,Finished,,129,2024-04-28 00:00:00
,Disinfectant,1,1 L,Lizol,"Smart point, Mangalapuram",2024-06-21 00:00:00,Finished,,10,21/0-6/2024
,Disinfectant,1,1 L,Lizol,"Smart point, Mangalapuram",2024-04-09 00:00:00,,,86,2024-04-09 00:00:00
,Disinfectant,1 pack,2 L_+0.5 L free,Lizol,Lulu hypermarket,24-11-24,,,209442,24-11-24
,Tablet for dishwasher,,,,,,,,,
,Tablet for dishwasher,1,,,,,,Bill is not available,,
,Tablet for dishwasher,1,60 tabs,Finish powerball,"Global brands Pvt.Ltd.,1318340A51, P and T colony, Kavadiguda, Hyderabad-500080",2023-12-19 00:00:00,,orderd through flipkart,FAAF372400035441,2023-12-19 00:00:00
,"Tape, adhesive",,,,,,,,,
,"Tape, invisible, 18mmx30m",1,,SAYA,Kunnil Hypermarket,Jan 09 2023,not opened,,374684,2023-01-09 00:00:00
,"Tape, transparent (cello tape), 1inch",1,,,Kunnil Hypermarket,Jan 09 2023,Finished,Cello tape (1 inch) stock: 2 (one is opened),374684,2023-01-09 00:00:00
,"Tape, transparent (cello tape), 42 mic 20 yad tube",1,Small-1,Premier,Kunnil Hypermarket,Jan 09 2023,not opened,,374684,2023-01-09 00:00:00
,"Tape, transparent (cello tape), 1 inch",2,,,sree lakshmi Enterprises,2023-05-18 00:00:00,Finished,,1314,2023-05-18 00:00:00
,"Tape, transparent (cello tape) 1""50 m",2,,,sree lakshmi Enterprises,2023-12-16 00:00:00,,,8189,2023-12-16 00:00:00
,"Tape, masking (cream)",1,,,,,,,,
,"Tape, black",1,,,,,,Bill is not available,,
,"Tape, insulation",1,10mtr,,"Kerala electricals, Kazhakuttom, TVM, Ph: 0471-2418446, 9447205270",2023-03-22 00:00:00,,Bill is not available,,
,"Tape, insulation",3,,,,,,Bill is not available,,
,"Tape, thread seal",2,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",2023-03-06 00:00:00,,"Stock: tread seal-4, insulation tape-4, packaging tape-2, masking tape-1, cello tape-3,invisible tape-1, black tape-1, green tape-1",B2B06990/2223,2023-03-06 00:00:00
,"Tape, thread seal",3,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",2023-05-19 00:00:00,,,B2B07818/2223,2023-05-19 00:00:00
,"Tape, Packaging 2""50m",2,,,Sree lakshmi Enterprises,2023-12-16 00:00:00,,,8189,2023-12-16 00:00:00
,"Tape packaging 2""50 mtr",1,,,Sree lakshmi Enterprises,23-10-24,,,7431,23-10-24
,"Tape roll, foam (green)",1,,,Sree lakshmi Enterprises,2023-12-16 00:00:00,,,8189,2023-12-16 00:00:00
,Towel,5,,,,,,Bill is not available,,
,Tape  (Brown),1,48 mmx1 mtr,,Lulu hypermarket,2024-06-09 00:00:00,,,508464,2024-06-09 00:00:00
,Wall hook,3,,,,,,2 discarded,,
,Wall hook,1,4,,Pothys Retail Pvt. Ltd.,Jan 16 2023,,1 is missing,10/974826,2023-01-16 00:00:00
,Wall hook,6,,,Sree lakshmi Enterprises,2023-05-18 00:00:00,,discarded,1314,2023-05-18 00:00:00
